index,timestamp,temp,humidity,pressure,wind_speed,wind_dir,cloudiness,weather,precipitation
0,45:09.2,298.38,78,1013,2.06,80,75,Haze,0
1,38:58.9,298.38,78,1011,2.06,60,75,Haze,0
2,42:19.7,298.38,78,1011,2.06,60,75,Haze,0
3,50:00.9,298.38,78,1011,2.06,60,75,Haze,0
4,20:01.4,298.38,78,1011,2.06,120,75,Haze,0
5,50:02.6,298.38,78,1011,2.06,120,75,Haze,0
6,20:01.5,297.38,88,1011,1.03,0,75,Drizzle,0.1
7,50:01.3,297.38,88,1011,0.51,0,75,Drizzle,0.3
8,20:01.4,298.38,83,1011,0,0,75,Haze,0
9,50:01.3,299.38,73,1011,0,0,75,Haze,0
10,20:02.5,298.38,78,1011,1.54,70,75,Haze,0
11,42:48.7,297.38,83,1012,0.51,0,75,Haze,0
12,50:01.4,297.38,83,1012,1.03,0,75,Haze,0
13,20:01.5,297.38,83,1013,1.03,0,75,Haze,0
14,50:01.5,297.38,83,1013,1.03,0,75,Haze,0
15,20:01.3,297.38,83,1013,1.03,0,75,Haze,0
16,50:01.9,296.38,88,1014,1.03,0,75,Haze,0
17,20:01.7,296.38,88,1014,1.03,0,75,Haze,0
18,50:01.3,296.38,88,1014,0.51,0,75,Rain,0.5
19,50:01.5,296.88,83,1013,2.57,80,75,Mist,0
20,50:04.9,300.38,74,1011,2.57,140,40,Haze,0
21,20:04.1,299.38,78,1011,2.57,140,40,Haze,0
22,50:03.1,299.38,78,1011,2.57,140,40,Haze,0
23,20:03.8,299.38,78,1011,1.03,0,40,Haze,0
24,50:03.3,299.38,78,1011,1.03,0,40,Haze,0
25,20:01.4,298.38,83,1012,1.03,0,40,Haze,0
26,50:02.3,297.38,88,1012,1.03,0,40,Haze,0
27,20:03.1,297.38,88,1013,0.51,0,40,Haze,0
28,50:01.6,296.38,94,1013,1.03,0,40,Haze,0
29,20:01.7,296.38,94,1014,1.03,0,40,Haze,0
30,50:03.0,296.38,94,1014,0.51,0,40,Haze,0
31,20:02.8,296.38,94,1014,1.03,0,40,Haze,0
32,50:01.6,296.38,94,1014,1.03,0,40,Haze,0
33,20:01.6,296.38,88,1015,1.03,0,40,Haze,0
34,50:02.3,296.88,88,1014,3.6,80,40,Clouds,0
35,50:01.3,296.88,88,1014,3.09,80,40,Clouds,0
36,20:06.1,296.88,88,1013,3.09,80,40,Clouds,0
37,20:04.5,298.38,83,1014,2.57,140,75,Haze,0
38,50:01.3,298.38,83,1014,2.57,110,75,Haze,0
39,20:03.7,298.38,83,1014,1.03,0,75,Haze,0
40,50:06.3,299.38,78,1013,2.57,90,75,Haze,0
41,20:02.3,300.38,74,1013,1.54,0,75,Haze,0
42,50:01.5,300.38,74,1013,1.54,0,75,Haze,0
43,20:01.6,300.38,74,1012,0,0,75,Haze,0
44,50:01.3,301.38,69,1011,2.57,140,75,Haze,0
45,50:01.4,301.38,69,1011,1.03,0,40,Haze,0
46,20:03.7,301.38,69,1011,1.03,0,40,Haze,0
47,50:01.7,300.38,74,1011,1.03,0,75,Haze,0
48,20:01.4,299.38,78,1011,1.03,0,75,Haze,0
49,50:02.1,299.38,78,1011,1.03,0,75,Haze,0
50,20:02.3,298.38,83,1011,0.51,0,40,Haze,0
51,50:01.4,298.38,83,1012,0.51,0,40,Haze,0
52,50:02.7,297.38,88,1014,0,0,20,Haze,0
53,20:01.6,296.88,94,1013,3.09,130,40,Clouds,0
54,50:01.9,296.88,88,1013,2.06,120,40,Clouds,0
55,50:03.0,299.38,83,1014,2.57,90,75,Haze,0
56,20:03.8,299.38,83,1014,2.57,90,75,Haze,0
57,50:01.4,298.38,83,1014,2.57,140,75,Haze,0
58,20:04.3,299.38,78,1013,2.57,90,75,Haze,0
59,50:01.4,301.38,74,1013,2.57,120,75,Haze,0
60,20:03.0,300.38,74,1011,1.03,0,75,Haze,0
61,50:01.6,300.38,74,1011,1.03,0,75,Haze,0
62,53:29.0,299.38,73,1009,2.06,110,40,Haze,0
63,20:05.2,299.38,73,1009,2.06,110,40,Haze,0
64,50:03.1,298.38,78,1010,2.06,100,40,Haze,0
65,20:02.9,298.38,83,1011,2.06,100,40,Haze,0
66,50:02.1,297.38,88,1011,2.06,100,40,Haze,0
67,50:03.3,297.38,88,1011,2.06,100,40,Haze,0
68,20:02.0,297.38,88,1011,2.06,100,40,Haze,0
69,20:03.3,297.38,88,1011,2.06,100,40,Haze,0
70,22:26.8,297.38,88,1014,2.06,100,75,Haze,0
71,50:03.3,297.38,88,1014,2.57,100,75,Haze,0
72,20:03.6,297.38,88,1013,2.06,110,75,Haze,0
73,50:03.9,298.38,83,1012,2.06,130,75,Haze,0
74,20:02.6,298.38,83,1012,2.06,90,75,Haze,0
75,50:03.7,298.38,83,1011,2.06,110,75,Haze,0
76,20:01.7,299.38,78,1011,2.06,100,40,Haze,0
77,50:02.5,299.38,78,1011,2.06,100,40,Haze,0
78,20:02.8,299.38,78,1011,1.54,120,75,Haze,0
79,50:02.4,299.38,78,1010,1.54,120,75,Drizzle,0.2
80,20:01.3,298.38,83,1010,1.03,0,75,Haze,0
81,50:03.2,299.38,78,1010,1.54,120,75,Haze,0
82,20:05.4,299.38,78,1010,1.54,120,75,Haze,0
83,20:02.6,298.38,83,1011,1.03,0,75,Haze,0
84,50:01.6,298.38,83,1012,1.54,140,75,Haze,0
85,20:03.2,297.38,88,1013,1.54,120,75,Haze,0
86,50:02.7,297.38,88,1013,1.54,120,75,Haze,0
87,20:02.0,296.38,94,1013,0,0,75,Drizzle,0.1
88,20:01.3,295.38,100,1014,1.54,120,75,Drizzle,0.2
89,20:03.4,295.38,100,1014,1.54,120,75,Drizzle,0.2
90,50:01.4,295.38,100,1014,1.54,120,75,Drizzle,0.3
91,50:03.2,295.38,100,1014,1.54,120,75,Drizzle,0.1
92,20:01.4,295.38,100,1014,1.03,0,75,Mist,0
93,20:03.5,295.38,100,1014,1.03,0,75,Mist,0
94,50:04.8,296.88,94,1014,3.6,120,40,Mist,0
95,20:03.7,296.88,94,1014,3.09,110,40,Mist,0
96,50:04.0,298.88,88,1015,5.14,90,75,Mist,0
97,20:08.7,299.88,83,1015,5.66,100,75,Mist,0
98,50:03.5,299.88,78,1015,5.14,100,75,Mist,0
99,21:20.5,298.88,83,1015,5.14,90,75,Mist,0
100,50:01.4,299.88,78,1014,5.14,90,75,Mist,0
101,50:03.2,299.88,78,1014,5.14,90,75,Mist,0
102,20:02.2,300.88,74,1014,3.09,100,75,Mist,0
103,20:04.5,300.88,74,1014,3.09,100,75,Mist,0
104,50:01.5,300.88,74,1013,3.6,90,75,Mist,0
105,50:02.7,300.88,74,1013,3.6,90,75,Mist,0
106,20:02.6,300.88,74,1013,3.6,90,75,Mist,0
107,50:02.7,301.17,63,1008,6.33,102,85,Clouds,0
108,20:02.8,301.88,94,1012,3.09,90,75,Clouds,0
109,50:06.0,301.88,94,1012,3.09,90,75,Clouds,0
110,20:05.1,299.38,78,1012,1.54,90,40,Clouds,0
111,50:03.0,299.38,78,1012,1.54,90,40,Clouds,0
112,20:01.3,299.38,78,1012,1.54,160,40,Clouds,0
113,20:03.5,299.38,78,1012,1.54,160,40,Drizzle,0.3
114,50:04.6,298.38,83,1013,1.54,0,40,Drizzle,0.3
115,20:05.5,298.38,83,1013,1.54,0,40,Drizzle,0.5
116,50:05.1,298.38,83,1013,1.54,0,40,Drizzle,0.6
117,20:02.6,298.38,83,1014,1.54,0,40,Rain,0.8
118,50:02.9,298.38,83,1014,1.54,0,40,Drizzle,0.4
119,20:03.4,297.38,88,1015,1.54,0,40,Drizzle,0.3
120,50:06.4,297.38,88,1015,1.54,0,40,Drizzle,0.3
121,20:01.4,296.38,88,1015,1.54,0,40,Drizzle,0.3
122,20:03.3,296.38,88,1015,1.54,0,40,Drizzle,0.2
123,50:01.4,296.38,94,1016,1.54,0,40,Drizzle,0.2
124,50:03.5,296.38,94,1016,1.54,0,40,Clouds,0
125,20:01.5,296.38,94,1015,1.54,0,40,Clouds,0
126,20:03.2,296.38,94,1015,1.54,0,40,Clouds,0
127,50:01.7,296.38,94,1015,1.54,0,40,Clouds,0
128,50:03.6,296.38,94,1015,1.54,0,40,Clouds,0
129,20:07.3,296.88,94,1015,1.54,120,75,Clouds,0
130,50:02.2,295.69,90,1012,2.17,111,75,Clouds,0
131,50:03.5,295.69,90,1012,2.17,111,75,Clouds,0
132,20:01.5,296.88,94,1015,1.54,100,75,Clouds,0
133,20:03.5,296.88,94,1015,1.54,100,75,Clouds,0
134,50:01.5,295.88,94,1014,1.54,100,75,Clouds,0
135,50:03.2,295.88,94,1014,1.54,100,75,Clouds,0
136,20:01.4,295.88,94,1014,1.54,100,75,Clouds,0
137,20:03.5,295.88,94,1014,1.54,100,75,Clouds,0
138,50:02.8,298.38,83,1015,1.03,0,75,Haze,0
139,20:01.5,298.38,88,1014,1.03,0,90,Drizzle,0.2
140,20:03.4,298.38,88,1014,1.03,0,90,Drizzle,0.2
141,50:05.1,297.38,94,1013,0.51,0,90,Drizzle,0.2
142,20:05.0,297.38,94,1012,1.03,0,90,Drizzle,0.4
143,50:02.8,297.38,94,1012,1.03,0,90,Drizzle,0.3
144,20:01.5,297.38,94,1011,1.03,0,90,Drizzle,0.3
145,20:03.3,297.38,94,1011,1.03,0,90,Drizzle,0.2
146,50:01.5,298.38,88,1011,1.03,0,90,Drizzle,0.1
147,50:03.3,298.38,88,1011,1.03,0,90,Drizzle,0.2
148,20:01.4,298.38,88,1010,1.54,0,90,Haze,0
149,20:03.5,298.38,88,1010,1.54,0,90,Haze,0
150,50:05.5,298.38,88,1011,1.54,0,90,Haze,0
151,20:04.4,299.38,83,1010,1.54,0,90,Haze,0
152,50:05.3,299.38,83,1010,1.54,0,90,Haze,0
153,20:02.9,299.38,83,1010,1.54,0,90,Haze,0
154,50:01.6,298.38,83,1010,1.54,0,90,Haze,0
155,50:03.3,298.38,83,1010,1.54,0,90,Haze,0
156,20:01.5,297.38,83,1011,1.54,0,75,Haze,0
157,20:03.3,297.38,83,1011,1.54,0,75,Haze,0
158,50:03.2,297.38,83,1011,1.54,0,75,Haze,0
159,20:03.3,297.38,83,1011,1.54,0,75,Haze,0
160,50:01.5,296.38,88,1011,1.54,0,75,Haze,0
161,50:03.4,296.38,88,1011,1.54,0,75,Haze,0
162,20:01.5,296.38,88,1012,1.54,0,75,Haze,0
163,20:03.5,296.38,88,1012,1.54,0,75,Haze,0
164,50:01.4,296.38,83,1013,1.54,0,75,Haze,0
165,50:03.2,296.38,83,1013,1.54,0,75,Haze,0
166,20:03.6,296.38,83,1013,1.54,0,75,Haze,0
167,50:02.8,295.38,88,1013,1.54,0,75,Haze,0
168,20:05.4,295.38,94,1013,1.54,0,75,Haze,0
169,50:05.8,295.38,94,1013,1.54,0,75,Haze,0
170,20:05.9,295.38,94,1013,1.54,0,75,Haze,0
171,50:02.6,295.38,94,1013,1.54,0,75,Haze,0
172,20:01.3,295.38,94,1012,1.54,0,75,Haze,0
173,20:03.2,295.38,94,1012,1.54,0,75,Haze,0
174,50:01.3,295.38,94,1012,1.54,0,75,Haze,0
175,50:03.2,295.38,94,1012,1.54,0,75,Haze,0
176,20:02.8,296.38,88,1013,1.54,110,90,Haze,0
177,50:04.7,295.38,100,1012,1.03,0,90,Drizzle,0.2
178,20:04.5,295.38,100,1012,1.54,130,90,Drizzle,0.3
179,50:03.6,296.38,94,1011,2.57,90,90,Drizzle,0.2
180,20:05.1,296.38,94,1010,1.54,100,90,Drizzle,0.1
181,50:05.1,297.38,88,1010,1.54,100,75,Haze,0
182,20:02.7,298.38,83,1009,2.57,90,75,Drizzle,0.2
183,50:03.0,298.38,83,1009,2.57,90,75,Drizzle,0.2
184,20:03.3,298.38,83,1008,2.57,90,75,Drizzle,0.3
185,50:02.7,297.38,88,1008,2.57,110,75,Drizzle,0.1
186,20:02.6,297.38,88,1008,2.57,110,75,Clouds,0
187,50:04.2,297.38,88,1008,2.57,110,75,Clouds,0
188,20:02.8,297.38,88,1008,1.54,0,75,Drizzle,0.2
189,50:04.4,296.38,94,1009,2.57,110,75,Drizzle,0.1
190,20:01.4,296.38,88,1009,2.57,110,75,Drizzle,0.2
191,20:03.5,296.38,88,1009,2.57,110,75,Drizzle,0.3
192,50:01.4,296.38,88,1009,2.57,110,75,Drizzle,0.2
193,50:03.5,296.38,88,1009,2.57,110,75,Drizzle,0.2
194,20:03.1,295.38,94,1010,1.54,0,75,Rain,0.4
195,50:01.4,295.38,94,1010,1.54,0,75,Drizzle,0.2
196,50:03.2,295.38,94,1010,1.54,0,75,Drizzle,0.3
197,20:01.4,296.88,94,1010,3.6,90,90,Drizzle,0.2
198,20:03.2,296.88,94,1010,3.6,90,90,Drizzle,0.4
199,50:01.4,296.88,94,1010,3.6,90,90,Drizzle,0.2
200,50:03.3,296.88,94,1010,3.6,90,90,Drizzle,0.2
201,20:02.9,296.88,94,1009,4.63,90,90,Drizzle,0.1
202,50:02.6,296.88,94,1009,4.63,90,90,Drizzle,0.1
203,50:03.2,297.38,88,1010,1.54,120,40,Haze,0
204,20:01.3,297.38,88,1010,1.54,120,40,Haze,0
205,20:03.2,297.38,88,1010,1.54,120,40,Haze,0
206,50:01.3,294.38,94,1010,1.54,0,90,Clouds,0
207,50:03.3,294.38,94,1010,1.54,0,90,Clouds,0
208,20:01.4,294.38,94,1010,1.54,0,90,Clouds,0
209,20:03.2,294.38,94,1010,1.54,0,90,Clouds,0
210,50:01.3,295.38,94,1010,1.54,0,90,Clouds,0
211,50:03.2,295.38,94,1010,1.54,0,90,Clouds,0
212,20:03.4,295.38,94,1010,2.57,120,90,Haze,0
213,50:01.4,295.38,94,1010,2.57,110,75,Haze,0
214,50:03.2,295.38,94,1010,2.57,110,75,Haze,0
215,20:01.7,295.38,94,1010,2.57,110,75,Haze,0
216,20:03.3,295.38,94,1010,2.57,110,75,Haze,0
217,50:01.4,294.38,94,1011,0,0,75,Haze,0
218,50:03.5,294.38,94,1011,0,0,75,Haze,0
219,20:01.7,294.38,94,1011,2.57,120,75,Haze,0
220,20:03.2,294.38,94,1011,2.57,120,75,Haze,0
221,50:01.9,294.38,94,1012,2.57,110,75,Haze,0
222,50:03.2,294.38,94,1012,2.57,110,75,Haze,0
223,20:02.0,294.38,94,1012,2.57,120,75,Haze,0
224,20:03.3,294.38,94,1012,2.57,120,75,Haze,0
225,50:01.7,294.38,94,1012,2.57,120,75,Haze,0
226,50:03.3,294.38,94,1012,2.57,120,75,Haze,0
227,20:02.9,294.38,94,1012,2.57,90,75,Haze,0
228,50:02.4,294.38,94,1013,2.57,120,75,Haze,0
229,20:01.4,294.38,94,1013,2.57,120,75,Haze,0
230,20:03.2,294.38,94,1013,2.57,120,75,Haze,0
231,50:01.7,296.88,94,1012,4.63,90,75,Drizzle,0.2
232,50:03.3,296.88,94,1012,4.63,90,75,Drizzle,0.2
233,20:02.2,296.88,94,1012,4.12,90,75,Drizzle,0.3
234,20:03.4,296.88,94,1012,4.12,90,75,Drizzle,0.2
235,50:02.2,296.88,94,1012,4.12,90,75,Drizzle,0.3
236,50:03.2,296.88,94,1012,4.12,90,75,Drizzle,0.1
237,20:02.7,296.88,94,1012,4.12,100,75,Drizzle,0.1
